bundles_count	numberOfGoals	variability	execIndex	changing_goals_0	dam_updated_0	deployment_change_planned_0	deployment_change_excuted_0	dam_updated_1	deployment_change_planned_1	deployment_change_excuted_1	dam_updated_2	deployment_change_planned_2	deployment_change_excuted_2	dam_updated_3	deployment_change_planned_3	deployment_change_excuted_3	dam_updated_4	deployment_change_planned_4	deployment_change_excuted_4	
720	9	8	4	523	1822344	2532139	106803	172330	492193	378192	146497	526496	411426	148646	551543	422785	141085	686920	435990	
720	9	9	4	386	4116606	7263674	188465	334945	1252802	502117	174252	1448279	434215	222063	1271762	292647	182501	1468063	382222	
720	9	10	4	594	9203346	9084756	75899	215950	704524	242027	168758	535652	214194	156299	510630	203912	131003	482523	287417	
800	10	1	4	433	1059301	2416640	77351	6165	530027	44727	17246	449547	906	2965	472585	41866	17115	443194	644	
800	10	2	4	192	1141311	2535937	49454	12201	2231785	223879	171235	1275222	82112	8573	464771	58530	62094	2307452	22363	
800	10	3	4	255	1419707	2553394	69239	9095	947122	62644	79916	471221	24026	5738	1683643	137207	80045	866903	30908	
800	10	4	4	245	1580906	2907755	99148	7952	465690	41016	107982	441820	1073	22797	1530208	94148	100947	850762	66813	
800	10	5	4	301	1827363	2302590	78377	120238	660033	494366	114847	594126	492299	129728	598882	266365	99692	604617	272459	
800	10	6	4	214	1710950	3936822	103645	148218	873562	478756	133972	675602	424375	134183	733676	479683	128025	732123	510572	
800	10	7	4	649	1585979	2470483	50236	155767	522388	509827	144228	571466	411748	141206	615631	386447	173496	658086	378110	
800	10	8	4	258	2262898	4834808	508765	767214	869960	512582	186756	847279	560788	210541	724483	384492	190605	908931	443897	
800	10	9	4	274	2605071	3410036	88123	231136	875738	370431	190759	686368	399693	201686	618754	223294	155989	637736	225825	
800	10	10	4	201	2750877	2697267	60256	171025	1045406	615021	228471	1242779	848633	207653	595236	238690	178490	569431	250297	
880	11	1	4	306	1041910	2457837	61319	4462	437099	34905	17799	332658	718	8849	310167	23569	15629	296709	413	
880	11	2	4	298	1294760	2377003	64008	4192	458323	33290	36948	341097	600	12199	601704	101691	38340	543783	37539	
880	11	3	4	278	1692507	3015134	89265	23821	730119	94106	89806	932382	29093	12129	502881	86777	63581	500545	60859	
880	11	4	4	470	1664044	2799073	112913	9550	561694	42006	141357	506610	863	4030	477542	45436	115517	532039	916	
880	11	5	4	258	1992699	2415165	57525	137203	740090	587531	129267	1719218	796111	149517	1655868	466743	127111	587454	413063	
880	11	6	4	244	2437839	4366715	82806	203861	1512098	857456	143845	882245	802711	163115	730508	641200	155946	664164	701580	
880	11	7	4	280	1953571	3305363	102907	158383	835532	436883	144374	660676	398008	113763	722174	396910	122626	721686	642639	
880	11	8	4	267	2206635	2875871	91174	180893	870771	491413	179497	4154819	830719	402263	785517	657305	221228	721688	474946	
880	11	9	4	317	2301045	2396525	147197	220624	643798	489934	202219	592956	498618	208106	688530	630384	193370	597187	671514	
880	11	10	4	334	2360382	6308255	532526	324370	1715691	659829	293673	1228986	574585	229841	663741	353490	202648	581901	449999	
960	12	1	4	342	1171477	4445353	142914	8178	661862	58607	28002	560188	1743	4832	531356	51605	28058	515802	1331	
960	12	2	4	591	1360674	3969727	129889	7401	860386	71792	71443	2516995	2035	8814	508593	51803	50521	444403	1070	
960	12	3	4	309	1660017	7028512	311165	10768	1514994	54442	107448	1180241	1993	13190	1052446	75776	100539	1245008	44084	
960	12	4	4	949	3970218	4744316	80011	12742	642823	69530	143327	612545	33122	6244	560767	47576	168390	562446	1948	
960	12	5	4	676	2100755	3200825	94861	156500	1012537	498671	180171	803113	498067	100465	550496	269406	91274	515348	447107	
960	12	6	4	244	2094498	3080608	102895	153795	925031	766071	142346	715423	547464	135113	792732	703779	143741	725464	927397	
960	12	7	4	265	4223631	2768316	86883	206822	957735	747216	191633	824303	604081	219396	724443	789037	202477	763057	905286	
960	12	8	4	793	2707118	2883171	93952	195709	875116	778802	333168	1332634	634626	235744	726075	812684	235582	849964	854617	
960	12	9	4	339	2647472	4890553	105367	291584	1150826	700137	269113	764905	314767	173107	607592	260107	137280	538252	297501	
960	12	10	4	532	3177817	3237958	101594	206760	968978	521857	228580	751892	514384	241089	814553	700026	222947	1155250	806115	
1040	13	1	4	276	1115225	2925951	97942	6855	718256	79933	35048	660925	1131	3200	651481	72640	22571	543757	905	
1040	13	2	4	410	1003838	3044573	89853	14982	728846	45706	60781	466558	820	4525	440314	50738	45858	495198	23172	
1040	13	3	4	288	1738815	2960600	119918	9623	620697	605730	86832	569354	10951	10595	523883	77935	79718	434087	20238	
1040	13	4	4	294	4098067	3538031	103046	7457	766271	91720	142229	610310	1229	6681	564062	83517	147757	580060	28625	
1040	13	5	4	366	2781922	3809556	84657	183967	811833	793252	171388	674226	841958	187034	822027	804715	180517	2518064	1125351	
1040	13	6	4	500	2490979	3701100	91344	178344	936041	598372	159760	470322	280721	137470	695715	471000	156900	653416	372866	
1040	13	7	4	316	2246952	2865146	97793	178678	1427387	1041324	170155	837561	848018	210542	794790	855201	208309	784811	518930	
1040	13	8	4	266	1909858	2999784	107373	203790	821698	676392	190852	757148	818850	174188	1255662	565273	167328	572292	343827	
1040	13	9	4	291	4877126	3298634	122223	302761	1627750	937505	284824	980186	1004213	323469	824781	970353	373711	657347	836491	
1040	13	10	4	295	3031621	2894286	115924	228334	638033	598672	204504	829754	704089	264251	750053	970171	257687	758745	1073398	
