bundles_count	numberOfGoals	variability	execIndex	changing_goals_0	dam_updated_0	deployment_change_planned_0	deployment_change_excuted_0	dam_updated_1	deployment_change_planned_1	deployment_change_excuted_1	dam_updated_2	deployment_change_planned_2	deployment_change_excuted_2	dam_updated_3	deployment_change_planned_3	deployment_change_excuted_3	dam_updated_4	deployment_change_planned_4	deployment_change_excuted_4	dam_updated_5	deployment_change_planned_5	deployment_change_excuted_5	dam_updated_6	deployment_change_planned_6	deployment_change_excuted_6	dam_updated_7	deployment_change_planned_7	deployment_change_excuted_7	dam_updated_8	deployment_change_planned_8	deployment_change_excuted_8	dam_updated_9	deployment_change_planned_9	deployment_change_excuted_9	dam_updated_10	deployment_change_planned_10	deployment_change_excuted_10	
186	3	7	0	94	80737	97968	6372	4415	53757	5651	6512	41526	528	3194	49144	5240	5331	41167	513	2816	82780	6376	7969	72119	826	5035	50396	3748	6357	48291	669	8900	59757	3935	4578	38932	515	
186	3	8	0	69	58930	80014	3767	4073	52472	3555	5895	37978	474	2848	60600	3247	5173	52903	672	3240	69633	3961	4847	43074	504	2615	52884	3425	5122	41594	481	2609	53204	3787	5386	41393	543	
186	3	9	0	67	48327	82785	5835	4896	59459	23174	9026	55753	684	3957	55252	6015	7908	44626	636	3363	62293	6286	6434	43553	658	3021	53230	23315	8961	94177	865	4213	101120	5334	6490	55650	819	
186	3	10	0	101	71298	100648	6148	4855	87925	8137	9444	58198	970	4683	79596	7071	11370	54134	770	4153	53500	6288	3536	42445	607	3013	189673	6533	11005	70361	1226	6641	65973	6614	8740	51160	981	
248	4	1	0	109	125871	132473	5275	5383	85359	4510	7852	74627	654	3776	98849	9172	11166	85193	837	4973	89716	7857	12258	68261	773	4321	84611	7138	9659	106152	734	4346	84322	8392	9638	79568	829	
248	4	2	0	122	109393	156204	5080	4517	64831	4680	18326	107745	947	5305	82270	7819	9522	64573	924	3530	72388	7575	8185	59795	824	3529	69564	4711	5767	48635	432	2720	49639	3990	6115	37670	461	
248	4	3	0	60	77024	106650	4955	4003	66744	4685	6736	74442	888	5040	79363	5063	8371	56493	936	4328	64258	8014	8564	77903	1041	4381	75119	4356	6296	49396	490	2733	66400	4883	6716	46712	471	
248	4	4	0	89	83080	99760	4515	3617	70542	6789	10896	84664	1472	6134	85330	7216	9788	85285	758	4252	66049	4781	5263	39984	462	2372	52791	4568	18518	60105	937	4492	94644	4700	9581	77045	672	
248	4	5	0	183	106874	111168	6283	6114	70428	4300	16235	65088	916	4536	112241	7188	11415	68349	973	4215	68558	6489	9057	58014	727	3369	58381	4519	4504	34651	455	2317	46765	4608	5628	54286	772	
248	4	6	0	99	100065	130521	4945	5391	98778	4485	7309	77486	1095	12190	95086	8857	12659	68250	875	4209	70055	7301	8223	80152	861	6444	75118	5011	39897	54816	565	21553	115957	24414	5413	76585	531	
248	4	7	0	84	77080	134737	4958	1970	55291	4671	2078	106394	1566	2964	87087	4729	4843	76024	708	1482	105350	4285	4089	71458	589	1387	66788	4047	4584	99904	1272	2704	112490	7477	5499	89795	861	
248	4	8	0	76	87303	131019	4802	2210	117223	8099	5127	93995	803	2289	120260	4502	4442	64251	588	1309	107419	6249	3750	63887	542	1179	109608	8845	3596	72327	531	1324	80539	4099	4902	64688	570	
248	4	9	0	69	87535	129784	8271	2658	92224	24813	7214	91192	687	1586	74608	4681	1916	39090	501	1266	41024	4233	3560	35290	399	927	39176	4560	3186	61453	624	1140	91226	7566	5960	66144	1038	
248	4	10	0	105	86866	132871	4971	1607	50162	4229	2826	62003	553	1048	106431	7722	2795	73469	581	1443	118923	4329	4259	69913	548	1173	94276	4362	4067	37019	430	1077	99621	10863	5152	73747	564	
310	5	1	0	88	118890	134911	5680	1982	139083	9493	7266	82565	711	1881	91914	5691	3935	112719	1094	2579	154908	25051	7075	87489	1049	2219	80620	10072	7629	82779	916	2039	73213	8760	4903	70057	976	
310	5	2	0	127	180308	117458	5758	1803	63106	5175	2810	45084	445	1025	49293	4790	2169	41461	384	1154	50446	4781	3520	60428	938	12641	116006	6230	3667	88630	550	1484	115649	4860	5449	81797	520	
310	5	3	0	84	127155	167687	5807	2049	113253	5224	3177	69248	488	1138	83169	5850	2861	119689	1132	2406	90528	5595	5042	80790	594	1436	91463	5345	5396	78784	472	1346	106616	5925	5825	80870	886	
310	5	4	0	69	94868	123905	5772	2119	62339	6094	2907	47866	479	1092	51185	5447	4474	42222	411	1128	104697	12009	8599	87078	531	1354	87312	4954	3786	76045	471	1149	127951	8217	2844	50599	493	
310	5	5	0	98	109204	199853	7606	2902	109558	25173	6615	118213	983	2470	84861	10532	6955	118765	1033	2239	119319	8342	5528	73344	664	1631	53223	4625	3460	118950	862	2059	97466	5454	4953	81594	599	
310	5	6	0	75	94012	136546	5407	1582	113049	5403	3760	78821	541	1225	107901	4734	2933	63766	426	1172	68600	4732	3954	44902	421	941	115156	26326	4790	78525	478	1141	105783	5006	3874	66606	465	
310	5	7	0	77	86629	150820	9209	2612	121464	5292	5136	83013	626	1627	102771	5879	5172	69514	473	1224	62898	5500	4294	94398	922	2099	84817	5365	4392	64119	517	1104	89274	5162	3687	83907	985	
310	5	8	0	109	171988	160673	8429	2968	86832	4761	5002	55664	531	1224	86650	6160	5987	52532	530	1463	86478	9116	3551	88287	944	1947	78263	8765	3716	79899	829	1887	66099	5326	4241	53497	545	
310	5	9	0	107	145870	136644	5829	2040	88996	5656	5143	55199	551	1213	59638	5514	2421	50253	459	1267	57385	34226	5352	96284	604	1502	99396	5542	3048	64765	538	1229	92495	4862	5236	62527	724	
310	5	10	0	70	143003	137245	5318	2020	114184	4920	4612	69225	523	1170	55002	5449	3389	99473	1200	2634	89164	7453	5240	67198	661	1402	68555	8216	4459	59967	581	1277	67190	5093	4748	49040	498	
372	6	1	0	68	161096	222947	12411	2366	123274	8109	28690	125416	1008	2593	83765	6392	5687	63828	564	1442	88364	6629	4286	78334	914	2063	63367	7534	7151	85188	966	1867	109150	13874	8104	130962	1254	
372	6	2	0	185	129857	237327	10760	3375	156285	11406	8185	94968	1040	2020	93874	10968	9319	139952	1158	2706	127120	12829	11624	91572	826	1885	103838	11462	8018	89917	979	2634	91494	6330	6822	91641	865	
372	6	3	0	60	127484	161606	7052	2196	70623	6890	4992	54202	464	1070	57093	6192	4492	137396	1122	2601	113455	10686	6272	88152	626	42410	116470	20663	7797	93513	1036	2485	193810	16282	9775	96365	887	
372	6	4	0	217	169292	374710	31187	4192	171236	163781	6502	149571	1182	2608	136699	12384	11628	86734	865	2288	90058	10784	16759	83394	797	1586	91152	10965	8015	84780	706	1564	99050	11664	8919	81982	702	
372	6	5	0	111	164543	204438	11316	2527	105205	11952	8340	86223	797	1603	94760	13101	6372	71620	535	1491	58826	5819	4484	48705	425	1125	54865	7088	5093	48069	386	1063	52718	5470	4046	55604	432	
372	6	6	0	83	117592	172182	6392	1526	65267	5840	3993	46449	435	993	53330	6267	5283	57543	458	1331	96790	10244	3452	85969	957	2052	174031	12224	6466	76395	822	1825	94584	9996	6445	107253	1412	
372	6	7	0	106	156921	218148	10643	2883	93561	10132	6284	129968	1079	2406	92771	10726	7807	80340	712	1654	84508	11887	5419	78700	719	1625	90502	10338	5977	81128	812	1573	82711	11320	5849	108956	1272	
