size	variability	time
2480	1	1197.67868
2511	1	1241.958912
2542	1	1231.212149
2573	1	1320.723519
2604	1	1321.47392
2635	1	1356.419381
2666	1	1387.009802
2697	1	1408.774738
2728	1	1454.027372
2759	1	1472.465558
2790	1	1510.444914
2821	1	1534.262426
2852	1	1571.330556
2883	1	1611.072704
2914	1	1646.533401
2945	1	1685.201022
2976	1	1718.63088
3007	1	1736.699767
3038	1	1751.163675
3069	1	1801.550809
3100	1	1880.269007
0	1	0.0322
31	1	0.245598
62	1	0.688694
93	1	1.32169
124	1	2.281283
155	1	3.710873
186	1	5.275861
217	1	7.185446
248	1	9.655229
279	1	11.309717
310	1	14.200296
341	1	17.154773
372	1	20.176452
403	1	25.352514
434	1	28.76959
465	1	34.944945
496	1	38.905018
527	1	44.633479
558	1	52.515225
589	1	56.534299
620	1	63.400555
651	1	83.24252
682	1	79.301755
713	1	83.52183
744	1	91.135586
775	1	99.892637
806	1	118.828425
837	1	118.422638
868	1	131.379872
899	1	140.623932
930	1	152.152082
961	1	167.072316
992	1	177.46198
1023	1	184.451971
1054	1	198.090628
1085	1	222.656037
1116	1	228.32485
1147	1	247.232104
1178	1	254.883517
1209	1	265.879027
1240	1	275.289844
1271	1	304.558893
1302	1	310.812242
1333	1	319.845186
1364	1	332.814819
1395	1	351.205348
1426	1	370.460589
1457	1	381.22986
1488	1	397.897029
1519	1	413.095107
1550	1	432.33669
1581	1	449.768388
1612	1	480.662484
1643	1	489.683321
1674	1	524.38035
1705	1	551.272204
1736	1	565.395071
1767	1	592.794849
1798	1	631.402059
1829	1	635.204855
1860	1	657.376974
1891	1	688.470422
1922	1	733.048112
1953	1	738.968441
1984	1	752.272088
2015	1	778.524476
2046	1	803.737471
2077	1	846.636037
2108	1	855.8807
2139	1	880.578921
2170	1	907.416257
2201	1	928.240077
2232	1	972.73831
2263	1	1008.334613
2294	1	1019.748901
2325	1	1055.958518
2356	1	1117.089179
2387	1	1115.666696
2418	1	1128.509189
2449	1	1193.794898
2480	1	1192.817003
2511	1	1265.999677
2542	1	1258.78463
2573	1	1283.004784
2604	1	1321.820836
2635	1	1343.299864
2666	1	1374.530458
2697	1	1408.153965
2728	1	1434.319315
2759	1	1468.371619
2790	1	1494.410859
2821	1	1551.870833
2852	1	1566.434774
2883	1	1559.54224
2914	1	1633.588637
2945	1	1655.317017
2976	1	1696.958851
3007	1	1741.642806
3038	1	1774.875564
3069	1	1816.67602
3100	1	1860.942513
0	1	0.0318
31	1	0.251199
62	1	0.728398
93	1	1.366996
124	1	2.330694
155	1	3.58859
186	1	6.83398
217	1	6.949479
248	1	9.014974
279	1	13.235262
310	1	14.599058
341	1	17.302749
372	1	22.149336
403	1	24.673329
434	1	29.474015
465	1	35.101499
496	1	39.559188
527	1	44.504375
558	1	50.40756
589	1	58.600438
620	1	64.356825
651	1	71.306608
682	1	75.669701
713	1	85.444777
744	1	90.814868
775	1	100.922748
806	1	108.856036
837	1	120.164714
868	1	132.281796
899	1	141.414985
930	1	152.513973
961	1	162.513364
992	1	177.490347
1023	1	187.819045
1054	1	197.020847
1085	1	213.83444
1116	1	228.921038
1147	1	241.149648
1178	1	258.651253
1209	1	271.497467
1240	1	276.570497
1271	1	293.103317
1302	1	305.415347
1333	1	320.809878
1364	1	339.515414
1395	1	350.086359
1426	1	366.180107
1457	1	387.034861
1488	1	395.91992
1519	1	413.104287
1550	1	434.77086
1581	1	454.681342
1612	1	482.635136
1643	1	498.488531
1674	1	514.160535
1705	1	543.402456
1736	1	588.675413
1767	1	589.991217
1798	1	604.335543
1829	1	635.229606
1860	1	658.788364
1891	1	685.446937
1922	1	715.539224
1953	1	734.082393
1984	1	753.98777
2015	1	818.273781
2046	1	826.606639
2077	1	840.970114
2108	1	858.592104
2139	1	881.552213
2170	1	923.695596
2201	1	938.164083
2232	1	989.422615
2263	1	1040.512259
2294	1	1008.317457
2325	1	1055.75559
2356	1	1087.039056
2387	1	1115.401612
2418	1	1142.644062
2449	1	1176.965948
2480	1	1200.01318
2511	1	1240.413297
2542	1	1278.739804
2573	1	1304.98645
2604	1	1355.650822
2635	1	1359.069543
2666	1	1376.691738
2697	1	1421.388375
2728	1	1534.992494
2759	1	1490.215034
2790	1	1503.303489
2821	1	1544.5768
2852	1	1589.926733
2883	1	1596.011837
2914	1	1641.497866
2945	1	1729.031441
2976	1	1705.931962
3007	1	1764.481763
3038	1	1780.496508
3069	1	1799.71049
3100	1	1825.198717
0	1	0.0584
31	1	0.226201
62	1	0.683003
93	1	1.388207
124	1	2.268411
155	1	3.674517
186	1	5.227725
217	1	6.950833
248	1	9.243544
279	1	11.903856
310	1	14.455968
341	1	17.323781
372	1	21.2113
403	1	25.270119
434	1	29.471139
465	1	34.498663
496	1	38.665482
527	1	45.994518
558	1	50.385639
589	1	57.736174
620	1	65.062909
651	1	72.067642
682	1	76.251763
713	1	85.507007
744	1	91.893139
775	1	101.357985
806	1	109.481224
837	1	120.368077
868	1	130.880228
899	1	141.140679
930	1	152.531836
961	1	163.884693
992	1	188.938016
1023	1	207.143708
1054	1	201.583882
1085	1	220.596879
1116	1	228.197519
1147	1	235.424158
1178	1	253.640052
1209	1	261.055893
1240	1	282.100702
1271	1	297.994986
1302	1	306.172533
1333	1	323.783228
1364	1	342.73543
1395	1	350.549576
1426	1	367.558271
1457	1	381.429749
1488	1	401.688261
1519	1	418.963359
1550	1	436.57756
1581	1	481.777603
1612	1	477.05429
1643	1	497.617309
1674	1	519.614138
1705	1	535.875636
1736	1	580.489786
1767	1	586.36713
1798	1	647.789474
1829	1	629.523891
1860	1	661.145777
1891	1	678.688488
1922	1	717.347915
1953	1	730.926807
1984	1	780.009694
2015	1	780.888716
2046	1	806.778778
2077	1	833.214442
2108	1	863.50773
2139	1	890.756701
2170	1	924.46481
2201	1	938.096004
2232	1	971.852214
2263	1	994.057658
2294	1	1038.089529
2325	1	1057.341757
2356	1	1083.530726
2387	1	1116.767434
2418	1	1142.313098
2449	1	1177.269217
2480	1	1185.020779
2511	1	1215.650073
2542	1	1310.27294
2573	1	1281.745589
2604	1	1319.338623
2635	1	1356.491455
2666	1	1371.016154
2697	1	1404.454464
2728	1	1438.837279
2759	1	1487.173675
2790	1	1499.799162
2821	1	1575.083818
2852	1	1573.911921
2883	1	1585.979702
2914	1	1648.590182
2945	1	1675.019247
2976	1	1709.854163
3007	1	1735.220021
3038	1	1764.795504
3069	1	1802.974851
3100	1	1843.320321
0	1	0.0315
31	1	0.242001
62	1	0.676203
93	1	1.331505
124	1	2.39521
155	1	3.668315
186	1	4.92942
217	1	6.927528
248	1	9.025836
279	1	11.825748
310	1	14.456458
341	1	17.089169
372	1	20.389782
403	1	26.441207
434	1	28.937817
465	1	35.017141
496	1	39.096458
527	1	45.287983
558	1	50.360804
589	1	57.390432
620	1	63.851659
651	1	69.996684
682	1	75.522107
713	1	96.583695
744	1	90.675072
775	1	102.24492
806	1	107.981644
837	1	118.210987
868	1	130.943042
899	1	142.558391
930	1	155.288646
961	1	166.767597
992	1	175.283435
1023	1	189.292097
1054	1	200.674049
1085	1	213.84511
1116	1	223.742256
1147	1	238.061522
1178	1	247.652868
1209	1	268.456364
1240	1	276.314005
1271	1	295.936197
1302	1	303.898939
1333	1	321.675726
1364	1	337.706207
1395	1	351.319776
1426	1	362.759238
1457	1	385.639251
1488	1	400.130828
1519	1	419.873431
1550	1	441.701845
1581	1	455.853524
1612	1	474.595826
1643	1	505.434287
1674	1	512.968737
1705	1	536.516767
1736	1	565.832425
1767	1	594.913584
1798	1	610.373378
1829	1	627.830884
1860	1	685.540689
1891	1	677.647571
1922	1	711.286661
1953	1	729.246974
1984	1	762.551364
2015	1	789.539126
2046	1	806.848237
2077	1	836.381914
2108	1	861.410567
2139	1	883.313705
2170	1	912.536782
2201	1	938.774745
2232	1	965.323409
2263	1	1002.118029
2294	1	1031.953313
2325	1	1053.337051
2356	1	1069.660962
2387	1	1125.816989
2418	1	1140.181991
2449	1	1160.638024
2480	1	1199.120856
2511	1	1226.886829
2542	1	1250.362279
2573	1	1292.706033
2604	1	1315.096876
2635	1	1338.220023
2666	1	1372.628332
2697	1	1403.14052
2728	1	1453.891319
2759	1	1480.806486
2790	1	1521.57173
2821	1	1528.754584
2852	1	1586.396722
2883	1	1600.671715
2914	1	1634.176217
2945	1	1684.392811
2976	1	1703.309129
3007	1	1732.771705
3038	1	1761.234576
3069	1	1802.087216
3100	1	1837.77305
0	1	0.033001
31	1	0.278602
62	1	0.675805
93	1	1.286108
124	1	2.320614
155	1	3.471621
186	1	5.020832
217	1	6.876943
248	1	8.925256
279	1	11.355871
310	1	14.162489
341	1	17.892512
372	1	20.529129
403	1	25.262058
434	1	32.956407
465	1	35.244921
496	1	39.142545
527	1	45.656987
558	1	51.679824
589	1	61.407185
620	1	67.489623
651	1	70.630842
682	1	76.571479
713	1	82.461716
744	1	93.778087
775	1	99.586923
806	1	110.29909
837	1	122.128463
868	1	132.595028
899	1	139.150668
930	1	150.172337
961	1	163.328717
992	1	178.876214
1023	1	185.839057
1054	1	196.517521
1085	1	208.041892
1116	1	222.978483
1147	1	235.644561
1178	1	248.461839
1209	1	270.597474
1240	1	280.781335
1271	1	290.644795
1302	1	306.931893
1333	1	321.281678
1364	1	336.478569
1395	1	352.077163
1426	1	366.544648
1457	1	389.535586
1488	1	397.218031
1519	1	414.04693
1550	1	463.456828
1581	1	467.862751
1612	1	483.901344
1643	1	502.441452
1674	1	516.438032
1705	1	554.615358
1736	1	591.410576
1767	1	583.871225
1798	1	608.140866
1829	1	668.889426
1860	1	660.042166
1891	1	684.473507
1922	1	708.070542
1953	1	736.140103
1984	1	751.79239
2015	1	783.973976
2046	1	809.961023
2077	1	842.764412
2108	1	855.141778
2139	1	889.513574
2170	1	915.07952
2201	1	932.724916
2232	1	967.377714
2263	1	1004.884029
2294	1	1024.263736
2325	1	1056.78012
2356	1	1088.915702
2387	1	1107.635706
2418	1	1140.869794
2449	1	1163.39962
2480	1	1195.755903
2511	1	1217.230622
2542	1	1257.701353
2573	1	1326.942951
2604	1	1305.452021
2635	1	1339.466714
2666	1	1377.43393
2697	1	1404.957485
2728	1	1450.801647
2759	1	1493.998594
2790	1	1504.38235
2821	1	1542.358067
2852	1	1575.450555
2883	1	1615.404584
2914	1	1629.805863
2945	1	1659.074831
2976	1	1695.69634
3007	1	1735.314568
3038	1	1778.851716
3069	1	1818.847946
3100	1	1841.407423
0	1	0.031701
31	1	0.274702
62	1	0.674404
93	1	1.350508
124	1	2.518416
155	1	3.721624
186	1	4.919831
217	1	6.901044
248	1	9.024358
279	1	11.377472
310	1	14.037589
341	1	17.024809
372	1	20.589031
403	1	32.443007
434	1	35.944728
465	1	34.72432
496	1	39.35495
527	1	46.318595
558	1	50.769422
589	1	56.427558
620	1	66.455522
651	1	70.351347
682	1	76.648487
713	1	83.883532
744	1	91.056178
775	1	99.241629
806	1	108.998391
837	1	120.322662
868	1	130.304325
899	1	142.106099
930	1	153.833673
961	1	162.461826
992	1	173.975998
1023	1	188.095987
1054	1	199.88296
1085	1	214.896054
1116	1	224.240911
1147	1	240.542112
1178	1	253.885095
1209	1	264.783761
1240	1	280.087055
1271	1	293.018034
1302	1	303.195196
1333	1	328.542452
1364	1	353.571007
1395	1	355.219514
1426	1	372.077116
1457	1	382.993081
1488	1	400.292486
1519	1	420.098905
1550	1	437.289708
1581	1	463.232265
1612	1	472.487018
1643	1	501.13519
1674	1	517.251886
1705	1	536.468499
1736	1	573.979925
1767	1	582.478072
1798	1	637.197601
1829	1	629.281747
1860	1	664.714558
1891	1	688.607898
1922	1	708.06611
1953	1	785.111672
1984	1	757.953802
2015	1	779.247324
2046	1	807.395288
2077	1	828.549309
2108	1	850.916838
2139	1	888.93686
2170	1	911.54999
2201	1	935.004425
2232	1	975.244159
2263	1	984.60651
2294	1	1022.329129
2325	1	1060.954053
2356	1	1076.895742
2387	1	1102.845291
2418	1	1139.474203
2449	1	1172.071792
2480	1	1200.372954
2511	1	1213.599927
2542	1	1257.690584
2573	1	1282.329725
2604	1	1302.54394
2635	1	1349.297912
2666	1	1388.51694
2697	1	1426.638061
2728	1	1433.8899
2759	1	1483.199987
2790	1	1494.359649
2821	1	1542.110627
2852	1	1566.023865
2883	1	1596.567642
2914	1	1670.175374
2945	1	1702.07456
2976	1	1707.127887
3007	1	1745.659911
3038	1	1781.701422
3069	1	1809.778285
3100	1	1857.117417
0	1	0.0316
31	1	0.247501
62	1	0.715603
93	1	1.318607
124	1	2.403512
155	1	3.896619
186	1	4.956724
217	1	6.875734
248	1	9.498246
279	1	11.733857
310	1	14.017768
341	1	17.872887
372	1	20.988202
403	1	24.166718
434	1	30.631949
465	1	33.415763
496	1	38.88199
527	1	45.286521
558	1	52.482256
589	1	55.842873
620	1	63.37441
651	1	71.341248
682	1	79.250888
713	1	82.863306
744	1	92.03975
775	1	100.305092
806	1	111.94225
837	1	121.063795
868	1	131.488347
899	1	141.9627
930	1	151.266747
961	1	166.710724
992	1	179.51949
1023	1	187.244729
1054	1	198.058485
1085	1	213.805166
1116	1	227.425936
1147	1	244.554124
1178	1	249.565952
1209	1	266.004238
1240	1	277.132597
1271	1	295.307192
1302	1	306.115451
1333	1	318.549018
1364	1	338.689326
1395	1	355.788818
1426	1	364.88427
1457	1	381.001958
1488	1	391.469618
1519	1	421.611679
1550	1	432.03544
1581	1	485.720426
1612	1	481.557013
1643	1	496.026096
1674	1	516.662913
1705	1	548.971693
1736	1	566.783996
1767	1	587.025112
1798	1	620.795902
1829	1	633.093579
1860	1	663.211851
1891	1	684.697777
1922	1	717.734267
1953	1	741.690907
1984	1	764.189442
2015	1	781.156247
2046	1	806.182196
2077	1	839.790792
2108	1	862.035527
2139	1	888.389485
2170	1	904.544487
2201	1	933.52666
2232	1	971.683883
2263	1	1032.358733
2294	1	1036.578371
2325	1	1063.369332
2356	1	1115.257935
2387	1	1120.552478
2418	1	1141.133405
2449	1	1169.888079
2480	1	1224.034695
2511	1	1234.695567
2542	1	1287.836978
2573	1	1289.139097
2604	1	1318.843576
2635	1	1388.606181
2666	1	1384.767269
2697	1	1407.79681
2728	1	1447.481244
2759	1	1476.056416
2790	1	1529.462628
2821	1	1536.197375
2852	1	1557.993606
2883	1	1594.016219
2914	1	1637.250973
2945	1	1684.184048
2976	1	1700.428147
3007	1	1749.763634
3038	1	1759.940598
3069	1	1816.792629
3100	1	1864.322551

0	2	0.029999
31	2	0.265896
62	2	0.834789
93	2	1.823176
124	2	2.759464
155	2	4.212746
186	2	6.106222
217	2	8.196295
248	2	10.325168
279	2	13.730824
310	2	16.800086
341	2	20.997633
372	2	24.944985
403	2	29.612626
434	2	41.249183
465	2	40.492996
496	2	45.058543
527	2	51.792568
558	2	60.438968
589	2	67.136797
620	2	72.446546
651	2	80.489564
682	2	89.010586
713	2	96.966311
744	2	103.77696
775	2	114.662968
806	2	127.221674
837	2	134.850126
868	2	150.167425
899	2	165.791227
930	2	208.071407
961	2	186.764373
992	2	210.31246
1023	2	220.747367
1054	2	230.6003
1085	2	254.653846
1116	2	267.704698
1147	2	291.78469
1178	2	301.259603
1209	2	306.301966
1240	2	330.372553
1271	2	341.052014
1302	2	353.5126
1333	2	371.760887
1364	2	387.083619
1395	2	409.743064
1426	2	427.838454
1457	2	457.432772
1488	2	475.923635
1519	2	486.918903
1550	2	504.312421
1581	2	524.991391
1612	2	565.184172
1643	2	579.015993
1674	2	639.354425
1705	2	673.878971
1736	2	661.147925
1767	2	694.265347
1798	2	717.064128
1829	2	749.711932
1860	2	764.300195
1891	2	808.626525
1922	2	821.821128
1953	2	860.809095
1984	2	884.153696
2015	2	1001.456711
2046	2	943.27136
2077	2	979.350944
2108	2	995.68293
2139	2	1041.910854
2170	2	1068.732764
2201	2	1098.511643
2232	2	1130.559689
2263	2	1162.217739
2294	2	1204.196223
2325	2	1242.115938
2356	2	1266.538571
2387	2	1310.788457
2418	2	1337.007335
2449	2	1380.735825
2480	2	1427.803908
2511	2	1442.865215
2542	2	1495.345233
2573	2	1516.316264
2604	2	1566.970341
2635	2	1594.056806
2666	2	1613.157943
2697	2	1673.402663
2728	2	1684.618657
2759	2	1755.929067
2790	2	1770.461817
2821	2	1822.254676
2852	2	1844.104688
2883	2	1873.232987
2914	2	1942.199596
2945	2	1977.751949
2976	2	2015.741756
3007	2	2043.375048
3038	2	2090.329075
3069	2	2124.382252
3100	2	2151.818183
0	2	0.022499
31	2	0.324385
62	2	0.816462
93	2	1.621625
124	2	2.723874
155	2	4.3132
186	2	6.03632
217	2	9.300169
248	2	10.522212
279	2	13.512973
310	2	18.948923
341	2	20.938732
372	2	24.625764
403	2	28.781073
434	2	34.817998
465	2	40.156757
496	2	45.493623
527	2	54.294128
558	2	60.312662
589	2	66.312605
620	2	75.670302
651	2	82.444318
682	2	90.838376
713	2	98.171887
744	2	106.211366
775	2	116.317073
806	2	128.874477
837	2	137.980851
868	2	151.973729
899	2	165.374145
930	2	182.478241
961	2	231.923161
992	2	202.936758
1023	2	214.427946
1054	2	230.917157
1085	2	245.268794
1116	2	263.643803
1147	2	289.327784
1178	2	295.267208
1209	2	322.094258
1240	2	328.489632
1271	2	347.068827
1302	2	354.9161
1333	2	370.787972
1364	2	391.036324
1395	2	406.0323
1426	2	425.590584
1457	2	440.990623
1488	2	457.763987
1519	2	495.629467
1550	2	524.725153
1581	2	539.345843
1612	2	558.277479
1643	2	585.044517
1674	2	602.61831
1705	2	629.334774
1736	2	692.123832
1767	2	687.840136
1798	2	719.183257
1829	2	744.314717
1860	2	799.099819
1891	2	801.577857
