scenario	time	
s5	238662	
s6	1357203	
s7	199326	
s1	164310	
s2	244177	
s3	50015748	
s4	251174	
s5	237689	
s6	148644	
s7	124510	
s1	50025429	
s2	133266	
s3	134190	
s4	254846	
s5	203880	
s6	51230874	
s7	209055	
s1	281438	
s2	229154	
s3	224512	
s4	51232954	
s5	148297	
s6	1757737	
s7	232770	
s1	254043	
s2	308041	
s3	50250908	
s4	231729	
s5	127187	
s6	49235049	
s7	195354	
s1	222971	
s2	261028	
s3	230169	
s4	50069295	
s5	128220	
s6	122324	
s7	176445	
s1	248604	
s2	49500126	
s3	144776	
s4	210560	
s5	233110	
s6	125183	
s7	52515706	
s1	266028	
s2	209237	
s3	173351	
s4	127918	
s5	50753833	
s6	86417	
s7	109361	
s1	210119	
s2	128262	
s3	134468	
s4	100194697	
s5	228539	
s6	80467	
s7	105566	
s1	49249508	
s2	215761	
s3	224896	
s4	159876	
s5	57509113	
s6	144369	
s7	205849	
s1	216137	
s2	224324	
s3	219298	
s4	77618053	
s5	206977	
s6	125430	
s7	184071	
s1	234019	
s2	290734	
s3	239609	
s4	200924	
s5	227039	
s6	117399	
s7	160200	
s1	299020	
s2	1405512	
s3	972474	
s4	512803	
s5	308003	
s6	131284	
s7	150818	
s1	55829880	
s2	213315	
s3	217556	
s4	149796	
s5	155299	
s6	47684628	
s7	187702	
s1	208011	
s2	355716	
s3	147147	
s4	49707404	
s5	140450	
s6	148506	
s7	113016	
s1	178650	
s2	125429	
s3	133042	
s4	126277	
s5	150075	
s6	87606	
s7	49254900	
s1	246207	
s2	214338	
s3	291942	
s4	266387	
s5	50382423	
s6	143187	
s7	205619	
s1	143967	
s2	48563428	
s3	50935408	
s4	207200	
s5	136882	
s6	50180451	
s7	200314	
s1	49898643	
s2	140961	
s3	133811	
s4	160163	
s5	125993	
s6	80747	
s7	164235	
s1	143897	
s2	49745289	
s3	188230	
s4	209502	
s5	126570	
s6	159969	
s7	49909216	
s1	160807	
s2	239810	
s3	277937	
s4	140804	
s5	49858172	
s6	84949	
s7	109530	
s1	187303	
s2	252422	
s3	237786	
s4	621210	
s5	130479	
s6	160610	
s7	189234	
s1	49779982	
s2	130735	
s3	146576	
s4	309566	
s5	181941	
s6	50181742	
s7	134764	
s1	140681	
s2	243984	
s3	262432	
s4	49176655	
s5	248878	
s6	83526	
s7	280634	
s1	174546	
s2	236571	
s3	175155	
s4	263165	
s5	262893	
s6	136697	
