bundles_count	numberOfGoals	variability	execIndex	changing_goals_0	dam_updated_0	deployment_change_planned_0	deployment_change_excuted_0	dam_updated_1	deployment_change_planned_1	deployment_change_excuted_1	dam_updated_2	deployment_change_planned_2	deployment_change_excuted_2	dam_updated_3	deployment_change_planned_3	deployment_change_excuted_3	dam_updated_4	deployment_change_planned_4	deployment_change_excuted_4	dam_updated_5	deployment_change_planned_5	deployment_change_excuted_5	dam_updated_6	deployment_change_planned_6	deployment_change_excuted_6	dam_updated_7	deployment_change_planned_7	deployment_change_excuted_7	dam_updated_8	deployment_change_planned_8	deployment_change_excuted_8	dam_updated_9	deployment_change_planned_9	deployment_change_excuted_9	dam_updated_10	deployment_change_planned_10	deployment_change_excuted_10	
1116	18	2	5	75	633013	532966	17028	10172	276690	67438	30964	196605	59861	2365	215517	25380	36363	221844	544	6139	330457	180888	46004	286820	64934	3957	224827	40082	30654	242643	23053	4078	237943	22271	29346	184830	744	
1178	19	2	5	86	485747	505868	17490	6163	213976	38230	34028	185579	23257	3297	190448	48536	30560	194621	61674	3168	205459	21015	26933	188055	426	2749	207714	30371	26775	190822	12865	3201	225893	56112	31594	246065	23987	
1240	20	2	5	80	466288	489573	19113	4674	230785	44603	33317	287575	26899	3317	229910	34023	41136	210739	14587	1941	219325	38012	28760	200551	14346	2167	403749	41421	32506	223951	700	5668	232372	22875	34082	211751	443	
1302	21	2	5	92	526457	557743	21146	3180	265031	21832	36761	214388	392	2260	404504	47504	58153	298774	824	5444	228883	35700	33720	210684	15330	2402	214524	24089	33119	202865	395	2464	198948	31495	26103	194700	14332	
1364	22	2	5	73	504285	530388	20762	2269	238813	23873	28214	216173	448	9362	227455	144744	30926	399420	152701	4692	283915	43917	44544	357061	1204	3867	365765	32423	39469	403734	1090	6218	371800	53625	48937	239373	30275	
1426	23	2	5	101	577354	556845	24930	4791	247078	38791	37423	218080	17492	1741	209027	23070	30768	207319	438	3929	230364	45221	37137	395472	49710	14036	318027	124687	41906	276821	145791	2359	317656	24217	46000	268529	472	
1488	24	2	5	85	639215	776519	46776	5906	400146	65205	84071	344269	719	2912	267253	26606	47085	217335	452	3260	225771	41890	40427	216690	16681	1449	223444	27880	34071	223082	431	1372	222829	31109	31803	214192	493	
1550	25	2	5	89	620144	677508	40963	5813	483754	51020	50335	386920	541	1710	311679	34990	40816	303934	474	2579	320390	32682	49559	306048	459	3403	342272	42109	34419	289997	18104	1808	296133	28155	54161	429292	840	
1612	26	2	5	86	731739	795654	29023	5660	394893	38018	65165	338043	566	2480	319651	36585	45976	312433	464	2601	323509	36739	49215	326466	597	2876	328524	49838	56497	329803	21552	3779	333012	59858	81449	709323	40844	
1674	27	2	5	100	740729	803698	27948	7935	519788	96809	68620	363862	22849	4289	354505	51124	49089	327957	21121	3254	382844	128515	79280	373223	58554	4265	338363	62868	42191	312732	20835	2781	324034	49890	49263	369479	21235	
1736	28	2	5	107	783227	746982	27257	4170	348245	34383	46002	332126	494	1818	335028	36024	41160	527376	646	3448	513204	128462	74901	400283	42093	6437	403771	56030	64797	387831	24586	3067	375802	42460	57874	479230	742	
1798	29	2	5	84	746566	886552	34218	6416	409172	38374	57977	357959	504	5444	348323	113771	56354	354698	83189	2454	354236	55013	50138	342779	22817	4510	345982	122424	48357	359002	103819	13322	481333	74433	62967	370343	44506	
1860	30	2	5	98	836223	860858	31617	5528	419439	77958	49831	355224	45068	3770	374850	58330	47287	358257	24179	3202	359133	87272	45548	351815	44916	1795	349732	42042	57105	348040	504	3657	360044	55728	44775	349745	23855	
1922	31	2	5	94	875154	1047061	30733	5255	497671	41886	84417	422717	760	7947	409092	125672	80083	397941	92465	4647	397799	101099	68499	386742	70355	2001	388261	40872	77762	384107	538	3356	392045	40504	72644	388632	584	
1984	32	2	5	117	863732	868630	33702	7783	567685	86687	57051	390267	48201	3627	387554	87498	50900	372022	48191	4168	499139	90634	59061	375865	48339	3786	451348	109914	66159	376702	48507	2401	386869	47513	59268	371426	577	
2046	33	2	5	96	869288	885988	32618	6656	421310	85051	54096	384205	109391	4079	536070	50102	74550	411269	633	2321	425760	43124	54544	378260	534	3926	422777	59891	58287	381007	35222	1774	386553	49671	52029	383093	508	
2108	34	2	5	91	852715	873358	32836	3668	415052	44922	52000	380022	615	2442	452830	70554	66048	401411	47822	6030	629434	148108	97644	419281	52441	9269	416631	159353	65128	403958	151173	2630	410545	44672	55679	361736	560	
2170	35	2	5	81	815095	989498	34565	5376	495817	52405	91728	453767	922	2864	529436	73056	73358	584899	1209	6108	447392	47010	66535	407220	519	8039	405408	222158	63567	568042	213234	3432	474715	44568	59091	424646	705	
