bundles_count	numberOfGoals	variability	execIndex	changing_goals_0	dam_updated_0	deployment_change_planned_0	deployment_change_excuted_0	dam_updated_1	deployment_change_planned_1	deployment_change_excuted_1	dam_updated_2	deployment_change_planned_2	deployment_change_excuted_2	dam_updated_3	deployment_change_planned_3	deployment_change_excuted_3	dam_updated_4	deployment_change_planned_4	deployment_change_excuted_4	
3224	52	2	0	166	1422725	1722972	147225	32437	813380	105551	131278	1041505	3257	28498	1318416	406839	156980	747208	173305	
3286	53	2	0	144	1541426	2526754	301546	19808	1280472	262887	220509	1135544	77617	19455	1085735	364098	160573	760226	125763	
3348	54	2	0	120	1453624	1677936	144844	15031	836117	95991	139843	1053093	2986	21229	1320725	143804	226994	707465	2031	
3410	55	2	0	77	1515728	1564537	232816	19770	849563	87483	129862	650997	1135	6990	623361	118741	93277	1060990	3763	
3472	56	2	0	248	2158800	1940964	322482	20439	1094905	784347	210632	886411	365635	13328	666517	265421	132962	661065	105946	
3534	57	2	0	77	1515061	1824179	191026	23032	965358	437708	170455	739199	219117	15641	699638	467631	134415	689063	292654	
3596	58	2	0	88	2359980	3032997	259218	20514	911614	312939	151019	730475	114576	13466	730212	900928	232221	1315629	392139	
3658	59	2	0	133	1679743	2371070	58316	18816	850926	455510	225574	1403753	534591	27646	1244850	405007	226272	1021799	2347	
3720	60	2	0	118	1883760	2695719	57580	17627	1264762	552735	253645	1355901	95682	23425	1161528	241621	243743	1207001	97786	
3782	61	2	0	204	2768876	4543320	88213	69481	1427811	225320	248313	1043401	69973	14727	1091106	129583	209863	1083043	2031	
3844	62	2	0	165	1887760	2137641	105010	25875	1552583	361194	251803	1106726	194834	28896	950896	90580	187396	1123679	2265	
3906	63	2	0	100	1902822	2070780	57777	18470	1111476	236084	192669	1190425	151244	14200	1138049	131309	197362	1502906	109512	
3968	64	2	0	335	2940670	5921850	155341	17984	1867670	166861	194166	1270489	60560	13362	1093291	94313	266510	2021010	4771	
4030	65	2	0	223	3174892	5982621	133966	34944	1173738	147121	157374	1096510	58108	11990	1003808	94146	161010	1106219	1553	
4092	66	2	0	181	3688276	4278813	137255	20125	1347969	251727	190466	1147515	106832	12600	1002138	91937	149767	1110207	1904	
4154	67	2	0	118	2825815	4675322	133071	16895	1135633	232656	157421	1191589	172415	29829	1252256	147800	180318	1144602	60182	
4216	68	2	0	203	2797650	5128668	160260	31470	1760766	181928	279587	1816294	3191	24041	1985958	280349	589270	1502139	60104	
4278	69	2	0	125	2700982	4425563	176096	13291	1091091	101096	212709	1001200	860	4563	1153200	131625	182658	1165055	913	
4340	70	2	0	150	3762126	4562081	206108	52945	1535783	310466	280898	1020797	209959	37180	1063506	97293	220618	1002707	956	
4402	71	2	0	112	3650527	4935720	223795	60140	1260532	106649	213114	1498838	2574	17032	1240927	116780	301568	1252938	1301	
4464	72	2	0	120	3830551	5525657	168876	19733	1184664	115513	242549	1156080	909	9643	1030477	149236	191837	998119	55676	
4526	73	2	0	179	3505429	6704311	161921	19976	1217514	107106	177016	1094470	1141	6533	1188447	112588	156380	1019717	965	
4588	74	2	0	112	2789810	5039346	154910	17433	1183665	304250	188182	1073299	221746	9797	1077482	153687	277761	1318753	67910	
4650	75	2	0	121	4239776	6076924	280705	28331	1779707	127034	440731	1661083	3305	13407	1285522	140512	203677	2385943	3702	
4712	76	2	0	198	4128441	6559920	163910	25218	1648315	168416	331739	1083016	58264	6197	1163656	120512	303608	1082778	965	
4774	77	2	0	145	4015821	6100743	169713	15403	1438750	111485	210954	1091891	1042	12603	1216750	321620	183791	20042109	255852	
4836	78	2	0	97	2696687	2703292	98749	26199	1253056	232975	269687	1211365	88535	34901	1022392	117382	193446	865223	1245	
4898	79	2	0	114	2390758	2007007	70115	16285	1079700	371932	231265	871537	117810	12511	810585	144125	353370	837129	64870	
4960	80	2	0	107	2742252	2369101	71535	15417	970501	111017	175103	814529	752	5314	891463	233874	212502	896992	4823	
5022	81	2	0	100	2264662	2388727	72893	12823	961840	109930	187885	863701	4577	8985	783964	111710	180990	809262	817	
5084	82	2	0	101	2424861	2101636	72174	14606	1067284	123248	207967	1521612	2876	19205	1531425	305537	347087	1128261	127873	
5146	83	2	0	101	2371823	2058740	72736	17113	1328760	175635	328821	1344116	79081	15739	1028971	136004	224714	1328205	2188	
5208	84	2	0	121	2461683	2541391	87739	15736	1113097	167334	199619	824127	61309	8113	801814	273552	188046	803987	178759	
5270	85	2	0	175	3763465	2301518	84903	18869	1335249	148513	239129	928916	1402	11857	873371	118387	199787	1029285	2170	
5332	86	2	0	281	2848344	2304740	98729	16411	1167765	297083	364555	1449722	72117	14673	882904	161327	243303	856453	62483	
5394	87	2	0	102	2264261	2080061	74712	13369	1304611	191928	224635	897374	63662	9217	835646	111274	170911	831091	678	
5456	88	2	0	95	2759006	2515710	74324	20345	988747	402506	188576	838586	310405	4776	1241945	209462	438760	1286797	133649	
5518	89	2	0	179	3783916	2662144	82177	20451	1047695	253301	423981	1263267	2238	13906	1112840	120657	241218	922647	956	
5580	90	2	0	105	2425285	2473268	86337	14304	1060543	117545	210872	989583	662	5853	877527	116304	300882	861552	682	
5642	91	2	0	99	4612786	2674902	79754	23744	1007406	193533	258625	863441	66753	15226	1477916	327152	269791	947276	200638	
5704	92	2	0	110	3420939	2806814	84974	15295	1592657	204159	330549	1697581	2172	18694	1140367	516284	327673	2145182	373008	
5766	93	2	0	255	3714807	4820961	148681	19964	1786617	334781	347143	1704653	141870	17286	2042550	421933	342536	1477001	1872	
5828	94	2	0	175	3899122	3646698	130063	22361	2477614	159270	245450	1206225	1445	13417	1202318	201895	340155	1410984	137194	
5890	95	2	0	163	3518028	2638734	80376	20669	1209575	286745	224605	1007020	141300	6895	936801	117760	213222	929900	1304	
5952	96	2	0	245	2690195	2313734	80441	14822	1067481	127500	199223	888242	599	4331	882797	112633	206271	952135	808	
6014	97	2	0	99	2388680	2498939	79450	13007	1009686	133732	216179	1068107	1000	11167	944846	181985	205134	999584	71171	
6076	98	2	0	100	2646339	2555004	80376	13789	1071668	412336	217299	962787	312827	8688	1568792	149426	259603	1073821	1745	
6138	99	2	0	93	2733146	2536579	89915	13306	1315822	140734	267892	1089261	1107	9894	991529	127836	239890	1035208	1054	
6200	100	2	0	97	2687801	2633392	92582	13470	2166927	135616	231230	1736349	1840	12566	1279936	146492	234548	1522159	2017	
62	1	2	1	100	39517	56507	3100	10473	19390	4347	4861	13107	2120	3385	8920	1479	1901	7201	371	
124	2	2	1	144	106122	64407	5270	7602	29991	4645	6383	25124	752	6466	26542	6153	8564	17661	1650	
186	3	2	1	175	87166	60319	3951	6383	27380	7466	5596	22230	5045	3698	22467	6173	3910	20335	3595	
248	4	2	1	99	111579	116663	7399	10589	42008	5962	5385	33680	2575	3118	30805	6068	5597	30952	455	
310	5	2	1	3190	124777	99993	5788	4701	43565	4968	8411	44232	501	3258	33280	7221	5176	30744	2935	
372	6	2	1	5073	138277	113204	7077	5774	48934	11607	8697	41388	6585	3314	38567	8023	8672	36820	3581	
434	7	2	1	54	157151	151634	7055	4606	67437	7307	9291	57448	484	2849	55685	6884	8683	53549	443	
496	8	2	1	88	183984	164931	8522	5353	74664	8720	13642	64793	532	3498	64714	12128	10643	65741	5478	
558	9	2	1	83	253938	268175	14211	8101	95823	9182	22643	91644	767	5529	87615	9590	19898	79812	503	
620	10	2	1	81	226268	202890	10335	7324	87929	18300	13819	78190	10878	2868	74545	8089	28226	71418	542	
682	11	2	1	59	232725	214969	11473	5593	91589	18226	14202	83598	22221	13956	153738	11924	21732	99254	714	
744	12	2	1	82	373961	410399	17434	9178	135939	18028	33356	95121	7374	3728	85946	15601	20135	85057	7576	
806	13	2	1	83	301830	300941	15485	21307	146479	25664	33590	129027	15251	39936	140079	25511	23829	131142	15667	
868	14	2	1	84	436663	447161	25581	80620	174232	24569	34684	141374	8980	5346	134049	14935	40523	135271	612	
930	15	2	1	110	558207	376620	17598	6555	155010	14395	28269	151088	698	3700	138578	21114	37516	136293	9429	
992	16	2	1	82	496203	388642	16378	6167	155417	17114	24441	144179	606	2592	145816	16276	30846	143302	598	
1054	17	2	1	116	722054	495044	19921	11214	189441	35963	39418	156648	11459	3458	152740	19254	33027	151875	598	
1116	18	2	1	85	527450	403000	16969	5400	170273	20206	28534	160624	567	4066	158992	27335	36983	159301	12032	
1178	19	2	1	58	462004	437241	30620	7820	192364	64343	35724	172649	55166	2768	176224	20202	35383	166463	546	
1240	20	2	1	72	483779	439755	19607	5732	182643	39158	34172	172602	24334	3507	170010	18973	26936	170833	582	
1302	21	2	1	81	529245	447771	19526	8808	309318	64403	45645	191303	39553	4149	182213	24129	37144	186552	702	
1364	22	2	1	97	836190	481418	21244	9421	203486	35847	46851	192269	16168	3827	189508	52082	33345	190494	38789	
1426	23	2	1	83	591530	488228	21328	6863	209421	40303	49161	193182	16551	2746	185955	27737	37827	189649	658	
1488	24	2	1	51	637123	502594	21098	9218	234405	61909	44384	205261	45956	2657	196081	27247	39409	196617	579	
1550	25	2	1	158	855316	833770	25101	16334	305944	59587	71575	269985	33681	7247	268766	82165	66078	269390	63303	
1612	26	2	1	105	966610	772322	25573	16568	335892	75140	75057	288796	51888	3619	319364	68717	128870	485880	2729	
1674	27	2	1	137	1444612	914150	59450	12474	470692	54891	71353	458397	27611	12195	462460	144311	66269	466842	117030	
1736	28	2	1	210	17534467	778394	28706	49151	341657	82517	59994	300721	39838	3221	296324	32172	55248	316371	932	
1798	29	2	1	120	950692	789039	27812	7321	434542	43905	88229	353416	699	7602	345296	62477	68596	309720	22244	
1860	30	2	1	82	907695	736340	29258	9546	328590	71985	52935	313824	42522	5344	346595	106973	48020	328593	79324	
1922	31	2	1	82	816666	721947	29004	7548	336747	39924	55827	412612	1364	7223	328206	61633	64368	323165	23857	
1984	32	2	1	91	1613445	860504	29954	8885	331372	43095	63808	315934	621	3538	319379	55474	56169	317341	23738	
2046	33	2	1	88	852477	739361	30146	9460	333883	119792	52084	326598	88455	3156	322428	59326	50815	324738	24480	
2108	34	2	1	79	1062319	772356	31542	7054	342651	61259	59774	333584	25449	4442	403636	70402	79153	422035	29591	
2170	35	2	1	85	1237420	810499	33386	10962	373775	49791	82799	368993	959	3361	350711	43525	77975	355575	641	
2232	36	2	1	82	950306	813025	33111	7101	356000	45347	71609	473247	1726	9549	367886	48171	79018	357646	606	
2294	37	2	1	85	989366	975236	37242	9788	430515	52623	77548	389955	694	5470	390942	97565	148064	656534	60608	
2356	38	2	1	96	1036362	1432726	59435	15474	917911	159181	146867	730449	55398	13693	651972	94791	135993	672413	2121	
2418	39	2	1	218	1660869	1062503	36987	10967	416657	77599	87408	382697	29825	3388	454490	58026	92147	403493	980	
2480	40	2	1	82	1224777	1072886	38695	8958	436971	56002	85785	486846	1537	8839	391513	50961	84474	392096	611	
2542	41	2	1	86	1012278	940129	37171	7423	416926	56796	97392	401571	659	7712	399824	205277	78637	405494	171811	
2604	42	2	1	82	1336282	1042360	82209	8579	504835	53309	95224	412635	638	7189	429082	100489	121881	411793	766	
2666	43	2	1	80	1123546	971419	39068	10650	431652	106026	75950	442103	101137	9769	446669	123493	73849	418204	63518	
2728	44	2	1	105	1255349	1054293	40289	11573	448132	78215	110637	416593	33394	2796	414582	57241	80441	420174	705	
2790	45	2	1	86	1206365	1125941	60618	44020	592169	337258	184967	589266	228532	10541	713307	147704	233734	691698	37646	
2852	46	2	1	86	1290169	1003046	42498	9584	444973	59061	91492	426696	625	3003	422120	84253	122554	528186	1621	
2914	47	2	1	139	1330278	1593972	47633	13620	588307	107669	122301	499124	38823	5470	503237	69305	106274	471332	791	
2976	48	2	1	88	1250691	1093553	43724	10679	494991	200873	104685	475793	150839	5420	609542	108043	123873	540160	93960	
3038	49	2	1	110	1862662	1379939	46339	15951	488716	188937	108769	454794	140962	6545	449827	209802	79776	453777	140578	
3100	50	2	1	85	1323466	1654431	50623	16007	699454	106718	112347	576549	37629	5415	576870	96002	98548	582754	37690	
3162	51	2	1	85	1502534	1350415	49153	8030	676195	126014	143972	873841	1756	17862	647101	383707	110253	664692	402242	
3224	52	2	1	90	1785159	1294523	54404	8750	636228	66804	107452	591151	628	14195	856006	151065	132485	780171	43662	
3286	53	2	1	116	1556473	1376072	51400	8303	652752	68314	130286	621969	608	4546	725297	137762	209877	706899	61106	
3348	54	2	1	167	2401705	1751675	53004	31776	769800	144605	186567	627570	79035	6161	611251	104079	167433	701374	68470	
3410	55	2	1	118	2507531	2536344	87238	19449	1297856	213477	207702	1377681	84468	20564	1195004	208888	213680	1109273	75913	
3472	56	2	1	162	2473182	1750801	106396	22527	1020073	253068	210927	1210444	226325	11413	663951	70204	211287	630115	796	
3534	57	2	1	80	1500367	1359931	51676	13471	790964	330812	236479	744179	133056	10641	650211	108521	116878	628769	42811	
3596	58	2	1	113	2202120	1559567	53245	10083	759067	101030	178874	961912	2045	10723	709319	84633	130341	724253	1829	
3658	59	2	1	140	1702175	1665218	57863	10274	944063	102348	165322	1116097	3226	11249	893296	98435	155397	843919	2037	
3720	60	2	1	110	2025200	1508949	54455	9121	738116	111634	136247	768510	82792	15324	1071084	132241	160830	715848	45202	
3782	61	2	1	81	1736267	1658182	62213	12741	761399	209588	184797	709543	190513	13009	965504	83547	147049	755547	885	
3844	62	2	1	81	1645648	1731908	68385	14951	1046255	138776	197344	1136709	60364	15117	1038477	148945	168368	733751	47379	
3906	63	2	1	86	1676552	1845101	69911	11280	858044	92641	168843	759648	766	3850	1025046	120535	169288	857541	2043	
3968	64	2	1	95	1776637	1790773	61279	12717	811319	132749	216570	862309	2035	11632	1009401	188470	218145	783629	47718	
4030	65	2	1	86	1639077	1531780	68007	16558	772325	243992	140096	673439	180417	3215	663285	76611	121939	689559	755	
4092	66	2	1	116	1995511	1581518	56045	9720	749578	87232	153327	782368	1574	10950	1303001	130513	150389	698913	47061	
4154	67	2	1	81	2030186	1568983	57572	10350	736511	90627	136823	717784	745	5142	689246	164089	118063	679237	95038	
4216	68	2	1	81	2174808	1741408	64987	11965	1042227	221396	170150	946528	183462	12084	1013709	161215	195805	1246756	3555	
4278	69	2	1	161	2795816	2040151	65077	10837	832993	90149	147851	696360	660	4995	692113	228143	282969	988153	110974	
4340	70	2	1	91	1817462	1854510	64951	12154	851705	148261	172168	828239	57497	5937	927543	128849	239844	855808	1274	
4402	71	2	1	92	1889432	1771216	68329	10664	922977	142978	251255	918005	1797	9522	935067	116692	230314	833070	828	
4464	72	2	1	58	2067141	1827324	67499	13285	862996	230165	184031	1161026	310847	17020	1180039	111299	178428	774423	783	
4526	73	2	1	87	1831766	1819348	65360	10072	860883	142393	157843	911337	61350	12772	860598	213311	175854	743859	104777	
4588	74	2	1	84	2108094	1859344	66342	18459	814193	243988	249879	1002803	196318	7654	816713	98861	246764	760820	658	
4650	75	2	1	82	2802227	2379596	76389	20429	962194	101060	341863	771391	734	5936	763936	98985	243388	864297	1500	
4712	76	2	1	81	3124474	2130433	67966	9775	909706	98080	174674	863689	1411	9777	836423	103329	177735	874224	1162	
4774	77	2	1	132	2854507	5376800	193279	11708	1613156	116887	224690	1789328	3201	33082	1291715	151814	215333	1198866	60036	
4836	78	2	1	127	3355137	4715990	94583	22812	1069763	154917	169742	875902	59645	5428	832121	97967	174278	807573	665	
4898	79	2	1	83	2695024	2970099	112109	14159	1020444	169401	177342	1223671	103649	7877	1335102	222698	471913	1011567	2122	
4960	80	2	1	127	2323548	2198248	71805	6595	1265485	122302	213550	1314201	965	2972	1129984	99948	195894	1122778	1150	
5022	81	2	1	230	4432431	6680393	203281	11399	1661567	118833	329687	1405063	2167	6448	1260647	125630	220959	1319476	1719	
5084	82	2	1	138	4177830	7127404	272635	14081	2085688	134288	350506	1284523	1723	6300	1283159	120404	474018	1882889	2447	
5146	83	2	1	138	4330924	6644182	179992	11957	1562918	192091	232959	1413250	69878	6520	1213327	115323	206371	1170775	1063	
5208	84	2	1	99	3565241	5920056	184556	10129	1318113	170396	208636	1324723	69809	5964	1370537	112415	215668	1165403	941	
5270	85	2	1	104	4069409	6713366	296856	10740	2020104	146732	211946	2087628	3271	9551	2262327	308530	397428	2023758	8407	
5332	86	2	1	158	4285082	6156894	190065	16405	1413363	300652	226343	1222579	193607	4897	1311653	232063	264676	1256453	133694	
5394	87	2	1	139	3284782	6050212	183836	9250	1488587	128307	229756	1248801	1242	4608	1271477	129320	237362	1351623	1678	
5456	88	2	1	99	3272317	5779605	207195	10289	1505771	167869	222708	1300439	1268	4671	1402072	118907	300749	1362178	1222	
5518	89	2	1	98	3309464	6760022	201692	10398	1480948	204540	310321	1436062	77433	9860	1695947	194012	246893	1281700	70778	
5580	90	2	1	100	3342552	6737773	183542	14460	1533008	408860	281660	1415099	342019	9569	1271657	108824	235785	1298564	957	
5642	91	2	1	101	3680809	6245035	297045	74025	1759705	562626	295279	2825008	418385	8135	2380347	130712	185284	1378477	1264	
5704	92	2	1	258	4087823	5763119	191241	5331	1567320	128883	181042	1437420	5105	6930	1261126	391236	169085	2470107	423879	
5766	93	2	1	98	3712035	6444003	214862	7252	1745195	191574	207327	1497719	82169	8520	2368431	191289	181578	1517228	82732	
5828	94	2	1	151	3915909	5780413	236225	8731	1958394	132277	196863	1319822	1142	6496	1271584	129761	164656	1447957	1425	
5890	95	2	1	117	5557296	7217756	317372	11037	1569456	142924	265184	1517700	2787	6579	1503298	334282	234078	1364868	73789	
5952	96	2	1	149	5520767	16425445	231304	14041	2116802	166885	471844	3315315	4632	17707	3876228	938835	434581	1865179	293072	
6014	97	2	1	101	5295269	35462710	1998893	17408	7170429	162534	313703	12810498	6367	17981	4993090	387327	318396	1690332	257809	
6076	98	2	1	112	5001324	7783900	295320	11467	2169105	164070	301806	1280703	892	3051	1355098	132372	240780	1424096	2299	
6138	99	2	1	137	4934963	8281078	334362	14468	2215968	165405	284532	2019284	2563	5590	1405945	142172	253779	1454570	1447	
6200	100	2	1	100	4990933	7575967	229290	13222	2995203	237918	332907	2223241	84023	13961	2177433	404415	261527	1992186	346689	
62	1	2	2	99	66007	129769	7415	4487	21525	2199	2265	18940	538	1788	19916	2045	1103	18049	1995	
124	2	2	2	99	127424	145709	8419	1949	32802	3192	2656	27431	480	1656	26364	2996	2235	25875	465	
186	3	2	2	97	170223	228548	10631	4339	46333	4532	4308	36262	565	1440	34256	4456	4993	32611	536	
248	4	2	2	94	158016	237493	12166	1964	58604	5488	6009	62062	589	13294	56902	14049	5851	54136	8022	
310	5	2	2	71	181867	315660	12603	2587	78542	6745	7517	76708	2204	9437	141728	87388	19587	141101	17343	
372	6	2	2	98	334280	474837	15924	4609	96454	20306	8183	68297	5539	1499	65393	7869	6005	63433	573	
434	7	2	2	106	256110	412901	17350	2638	132064	9793	8579	100420	632	2197	104078	12652	9730	96306	6583	
496	8	2	2	97	294140	476548	30812	8959	187176	21299	13371	139913	21126	3959	111356	22877	14113	122724	15331	
558	9	2	2	110	522395	582062	24483	5191	134681	24056	10705	147107	17622	5160	113756	11686	15856	125033	625	
620	10	2	2	95	389749	756676	31405	9998	221730	69017	28997	162735	30147	5928	133066	13729	18900	127816	681	
682	11	2	2	96	415103	670503	26685	5699	161080	18497	13504	279229	10966	6593	149238	16027	17764	143048	9458	
744	12	2	2	97	468837	711764	26982	3025	148387	17891	18282	137455	10618	1465	130416	16996	13078	131438	600	
806	13	2	2	100	480879	791689	28622	4328	222826	17710	18822	199176	591	5931	206575	43792	16313	236530	33446	
868	14	2	2	126	587023	972155	35237	4114	224945	18041	21130	213040	3749	4298	212269	16011	21012	201212	641	
930	15	2	2	131	622031	934178	35950	3172	246837	18829	21153	214457	709	4351	247385	49497	22868	245032	51693	
992	16	2	2	114	776350	959161	34546	2614	248712	24935	21268	259679	4819	3827	265238	57073	23976	225801	53494	
1054	17	2	2	109	1239895	1165043	62674	10255	340896	25092	45595	237001	663	3763	259475	38902	49284	238135	23757	
1116	18	2	2	92	901782	1187914	43519	5595	266776	23074	27996	261275	656	3692	257764	46670	21068	254837	35768	
1178	19	2	2	100	850706	14655447	25990	18863	251248	82880	52878	185560	75630	3307	170894	19307	42992	172903	534	
1240	20	2	2	84	777867	569962	23229	3916	205773	23198	27301	188937	533	3925	189327	42306	30764	189223	25299	
1302	21	2	2	113	645346	611536	26516	3887	236896	27048	32929	225607	685	2983	252237	23874	50701	248224	854	
1364	22	2	2	92	901029	745216	29148	6540	319231	29824	54115	224042	655	2496	371073	60282	67178	233180	662	
1426	23	2	2	99	1065537	1042462	40893	13667	421023	86344	58679	259523	19923	3404	237332	31339	58614	231536	597	
1488	24	2	2	97	1083374	1016892	44465	6650	421685	60823	64552	405581	1141	5474	376326	84942	53371	402999	35464	
1550	25	2	2	148	1179068	1141008	44077	31171	555449	67762	93852	505260	1701	5123	381409	102366	70058	396395	32104	
1612	26	2	2	107	1252918	998275	44370	5718	421665	36717	55013	316361	744	4958	310159	49347	43491	304186	20209	
1674	27	2	2	152	1093784	1095224	30198	7270	338994	61667	47489	305927	37424	2169	299323	31917	42645	301510	543	
1736	28	2	2	81	795818	792573	29856	4774	339644	47381	46577	311061	21117	4670	381061	166880	40983	320525	76246	
1798	29	2	2	100	880028	869719	51936	7027	462937	39212	61798	341100	670	3834	322067	37865	44583	324560	551	
1860	30	2	2	83	1206363	869281	33814	6085	354106	56819	47317	324157	22656	2205	326813	55448	39415	329251	22618	
1922	31	2	2	120	930582	856683	33764	3961	379681	67723	68264	355776	626	2762	336499	60479	148448	514300	37122	
